Norwood,architects,invited,invited audience,of,of audience,pos-1_IN,pos-2_NNS,rights,small
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
