difficulty of,obvious difficulty,of difficulty,pos-2_JJS,pos-2_VBZ,potential,potential difficulty,the difficulty,type,we
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,1.0
