by,is operating,operate effectively,operating .,operating in,pos-2_CC,pos2_CD,pos2_RB,three,written
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0,0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,1,0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
