?,And,any,be received,end,pos-1_DT,pos-1_VB,received ?,receiving end,the receiving
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1,0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0,1,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
